"Treatment_name","Treatment_number","Leaf_Ear_mass","Stem_mass","Sim_biom","Sim_yield","Sim_HI","RUE","Sim_Emer_Anth_days","Sim_Emer_Matur_days","No_exper","Repetition","Training_treatments","ML_model"
"8C",6,438.194237938554,404.199121535315,1501.27992891534,658.886569441472,0.438883220078424,0.0992599576711655,65,102,3,3,"7C,9H,2C","XG_boost"
"9C",7,411.432709915443,372.735202549212,1347.34929427979,563.181381815136,0.417992115486413,0.135789662599564,52,82,3,3,"7C,9H,2C","XG_boost"
"9H",8,349.736003607291,302.456179854555,1141.83175060663,489.639567144784,0.428819365799427,0.135789662599564,47,78,3,3,"7C,9H,2C","XG_boost"
"10C",9,250.48041615563,196.895579829932,757.774175811408,310.39817985235,0.409618313424289,0.674993216991425,44,64,3,3,"7C,9H,2C","XG_boost"
"14C",10,486.05678849243,461.839822981099,1718.09306548992,770.196454016419,0.448285642662086,0.676709651947021,88,130,3,3,"7C,9H,2C","XG_boost"
"14H",11,476.264888167601,449.909501440296,1633.99122326624,707.816833658356,0.433182763517834,0.983461081981659,87,122,3,3,"7C,9H,2C","XG_boost"
"15C",12,458.785122580699,428.786951540831,1541.78595415502,654.213880033493,0.424322117003612,0.166293978691101,77,109,3,3,"7C,9H,2C","XG_boost"
"1C",1,312.520679276925,261.713808716469,1014.15101684601,439.916528852785,0.433778127266408,0.497023602612749,49,77,3,3,"7C,9H,2C","Random_forests"
"1H",2,277.347568368332,224.461605697646,861.795661788232,359.986487725887,0.417716755476481,0.199388539992733,49,71,3,3,"7C,9H,2C","Random_forests"
"2C",3,196.04349463237,143.674103671666,575.789945993875,236.07234768984,0.40999734248981,0.151055328351697,43,64,3,3,"7C,9H,2C","Random_forests"
"7C",4,510.061315835893,491.376288102793,1759.71416296118,758.276559022689,0.430908936793854,0.476194989117494,86,121,3,3,"7C,9H,2C","Random_forests"
"7H",5,433.210101708568,398.296437861599,1420.50687111437,589.000331544199,0.414640959168425,0.813608340729384,77,108,3,3,"7C,9H,2C","Random_forests"
"8C",6,385.620812688248,342.937194795536,1275.77386238421,547.21585490043,0.428928567228813,0.760423412642999,63,97,3,3,"7C,9H,2C","Random_forests"
"9C",7,343.012032284565,294.998794312791,1127.20906128165,489.198234684297,0.433990686810194,0.139792915023978,50,83,3,3,"7C,9H,2C","Random_forests"
"9H",8,309.060439181091,257.993286382245,997.779417153135,430.725691590029,0.431684282302571,0.0878716105377131,47,78,3,3,"7C,9H,2C","Random_forests"
"10C",9,185.615241306087,133.921554376972,543.910260599955,224.373464916896,0.41251927233254,0.54577496975874,44,65,3,3,"7C,9H,2C","Random_forests"
"14C",10,486.112601800428,461.908023714022,1701.20301496205,753.182389447633,0.442735160250368,0.931332914842077,88,127,3,3,"7C,9H,2C","Random_forests"
"14H",11,404.610066311885,364.805463449598,1386.94739756199,617.531867807373,0.445245341599031,0.56901267274711,79,119,3,3,"7C,9H,2C","Random_forests"
"15C",12,445.565277103397,412.963809760891,1471.9738404124,613.444753548113,0.416749765998726,0.166036064911442,77,108,3,3,"7C,9H,2C","Random_forests"
"1C",1,360.540997176524,315.622290468484,1026.16662470263,350.003337057618,0.341078464873135,0.645736575126648,47,71,3,4,"9C,10C,7H","XG_boost"
"1H",2,283.081699031268,243.136170625987,837.284935229108,311.067065571853,0.371518765576184,0.887763023376465,43,68,3,4,"9C,10C,7H","XG_boost"
"2C",3,241.089592547832,204.46674300616,628.968162214497,183.411826660511,0.291607489343733,0.514205276966095,38,60,3,4,"9C,10C,7H","XG_boost"
"7C",4,562.935507526769,510.406055134651,1938.26411876325,864.92255610183,0.446235653711483,0.443218320608139,82,121,3,4,"9C,10C,7H","XG_boost"
"7H",5,503.93792689713,452.945940661875,1702.70359533614,745.81972777714,0.438020880334079,0.393252432346344,76,121,3,4,"9C,10C,7H","XG_boost"
"8C",6,420.156080849392,372.270858482092,1536.2907363214,743.863796989918,0.484194677090272,0.576909780502319,62,99,3,4,"9C,10C,7H","XG_boost"
"9C",7,365.074202088978,319.905460267166,1253.54659748479,568.566935128642,0.453566653421149,0.228242322802544,51,85,3,4,"9C,10C,7H","XG_boost"
"9H",8,309.129709774669,267.356154450068,1047.36645776927,470.880593544535,0.449585329042748,0.0923778787255287,45,80,3,4,"9C,10C,7H","XG_boost"
"10C",9,228.702347504205,193.156874051755,542.543935017674,120.684713461729,0.222442286554724,0.490858912467957,39,54,3,4,"9C,10C,7H","XG_boost"
"14C",10,532.570849790136,480.770106120804,2043.45943242769,1030.11847651675,0.504105175845325,1.36575472354889,87,128,3,4,"9C,10C,7H","XG_boost"
"14H",11,431.179033616232,382.817739723603,1706.03157295214,892.034799612306,0.522871213965118,1.2448765039444,78,118,3,4,"9C,10C,7H","XG_boost"
