Model	Version	PNO	Trt	Planting.date	Emergence.date	Ant.date	Mat.date	FLN	Yield	Biom.an	Biom.ma	HI	GNumber	CroN.an	CroN.ma	GrainN.ma	GPC	GDM.ma	GNM.ma	ET.ma	Transp.ma
e.mean	Improved	3	C	2007-06-12	2007-06-20	NA	NA	NA	0.35	NA	NA	NA	NA	NA	NA	16.1	NA	20.65	0.79	NA	NA
e.mean	Improved	4	C	2007-07-25	2007-07-31	NA	NA	NA	0.39	NA	NA	NA	NA	NA	NA	18.43	NA	29.59	0.93	NA	NA
e.mean	Improved	7	C	2008-01-02	2008-01-14	2008-04-10	2008-05-16	11.35	7.72	12.02	17.27	44.95	19347.35	199.85	233.37	182.55	13.6	40.83	0.93	546.15	423.13
e.mean	Improved	7	H	2008-01-02	2008-01-14	2008-04-02	2008-05-07	12.17	6.97	10.77	15.78	44.56	16634.59	190.66	225.31	170.25	14.35	40.82	0.99	503.98	384.45
e.mean	Improved	8	C	2008-02-13	2008-02-23	2008-04-28	2008-05-31	13.01	5.99	9.8	13.67	44.04	17183.3	150.01	194.74	148.82	14.26	36.04	0.88	527.79	390.17
e.mean	Improved	9	C	2008-03-10	2008-03-20	2008-05-13	2008-06-11	13.18	5.03	8.98	12.16	41.39	15689.77	159.6	192.06	136.49	14.83	34.49	0.88	504.59	367.56
e.mean	Improved	9	H	2008-03-10	2008-03-19	2008-05-09	2008-06-06	13.45	4.37	8.26	11.06	40.93	14243.74	150.92	179.7	123.65	14.93	33.62	0.84	478.58	340.17
e.median	Improved	10	C	2008-04-28	2008-05-06	2008-06-19	2008-07-05	11.01	0.83	3.71	4.25	24.85	7198.72	87.61	99.72	34.44	16.01	18.68	0.5	317.3	174.34
e.median	Improved	11	C	2008-08-25	2008-08-31	NA	NA	NA	1.06	NA	NA	NA	NA	NA	NA	36.57	NA	26.68	0.76	NA	NA
e.median	Improved	14	C	2008-12-01	2008-12-18	2009-03-22	2009-05-02	9	8.19	10.68	17.6	44.85	18921.67	239.48	270	207.46	14.25	41.47	1.05	515.19	410.41
